INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Kyler,Murray,1,1,70,207,QB,92,77,69,30,11,87,19,15,14,34,90,89,79,93,20,12,85,0,0,0,1,25,89,328,82
1,James,Conner,1,6,73,233,RB,88,86,88,64,48,14,18,16,28,33,23,91,80,82,12,37,85,1,0,1,0,27,98,317,99
2,Darrel,Williams,5,24,72,224,RB,87,77,93,62,44,17,17,12,34,36,25,88,83,78,15,38,92,0,0,0,1,27,85,240,99
3,DeAndre,Hopkins,1,10,73,212,WR,90,84,72,97,37,14,20,20,45,52,35,97,96,89,33,35,92,1,0,0,0,30,74,327,56
4,Marquise,Brown,5,2,69,170,WR,97,75,72,86,20,11,19,16,19,18,22,89,84,96,22,12,86,1,1,1,1,25,80,140,58
5,Robbie,Anderson,5,81,75,190,WR,96,75,76,84,32,12,11,11,26,21,29,90,84,83,22,12,93,1,1,0,0,29,82,214,68
6,A.J.,Green,5,18,76,210,WR,87,81,74,88,32,17,19,15,40,35,41,90,83,83,26,15,87,0,0,0,1,34,76,326,94
7,Rondale,Moore,5,4,67,181,WR,94,79,74,80,30,36,23,20,29,25,41,84,72,92,13,18,85,1,0,1,0,22,95,41,86
8,Zach,Ertz,1,86,77,250,TE,80,70,81,88,58,11,22,22,44,36,42,95,97,81,18,12,88,0,0,1,0,31,95,85,89
9,D.J.,Humphries,1,74,77,307,OL,66,5,40,19,81,7,13,6,35,45,10,91,86,61,15,25,89,0,0,1,0,28,81,81,77
10,Justin,Pugh,5,67,77,311,OL,64,8,60,28,77,7,21,23,25,35,16,87,91,66,17,23,85,0,0,0,0,32,92,3,51
11,Rodney,Hudson,1,61,74,315,OL,59,25,40,21,86,8,11,15,41,45,12,85,87,59,13,20,91,0,1,0,1,33,94,295,58
12,Will,Hernandez,1,76,74,335,OL,66,17,25,13,75,7,17,12,24,27,22,90,75,62,10,35,94,0,0,0,0,26,84,179,95
13,Kelvin,Beachum Jr,3,68,75,308,OL,55,12,30,22,77,7,12,17,40,45,12,87,88,58,20,25,94,0,1,0,1,33,84,16,74
14,J.J.,Watt,5,99,77,288,DL,76,22,67,73,48,7,10,10,83,85,20,86,93,82,26,87,77,1,0,0,0,33,87,112,65
15,Rashard,Lawrence,5,90,74,308,DL,70,12,36,19,47,6,17,12,72,76,23,76,70,52,14,78,84,0,0,1,0,23,95,233,87
16,Zach,Allen,5,94,76,281,DL,74,36,42,48,49,6,15,12,78,85,22,83,78,74,41,81,89,0,1,0,1,25,92,186,92
17,Leki,Fotu,5,95,77,330,DL,67,27,42,27,49,6,15,15,68,78,19,77,71,61,18,82,89,0,1,0,1,24,95,325,66
18,Markus,Golden,5,44,75,260,LB,79,16,55,26,46,8,30,30,72,79,35,84,80,75,41,82,90,1,0,0,0,31,87,176,71
19,Isaiah,Simmons,5,9,76,238,LB,93,43,65,66,39,7,20,20,65,82,24,92,76,91,71,85,93,1,1,0,0,24,83,255,59
20,Zaven,Collins,1,25,76,260,LB,84,31,56,65,46,36,19,17,71,81,40,82,72,82,67,88,92,1,0,1,1,23,84,102,53
