INDEX,FIRST,LAST,SKIN,NUMBER,Height,Weight,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Aaron,Rodgers,1,12,74,225,QB,79,65,63,25,18,94,15,18,19,19,94,97,95,81,16,12,91,1,0,0,0,37,95,241,94
1,Aaron,Jones,5,33,69,208,RB,91,87,91,62,33,22,21,20,23,20,30,92,90,94,17,24,84,1,0,1,1,26,96,316,55
2,A.J.,Dillon,5,28,72,213,RB,88,83,92,52,49,15,18,12,31,29,31,84,75,79,13,28,91,1,0,0,0,23,90,329,74
3,Davante,Adams,5,17,73,215,WR,91,80,76,98,27,12,25,30,52,42,45,96,98,92,21,15,93,1,0,1,0,28,92,247,96
4,Randall,Cobb,5,18,76,206,WR,89,80,73,83,30,52,35,30,35,35,64,86,81,89,19,12,85,1,0,1,0,31,80,224,96
5,Marquez,Valdes-Scantling,3,83,77,227,WR,93,70,74,81,32,15,15,19,27,29,24,83,81,88,13,22,90,1,0,1,0,26,82,235,100
6,Allen,Lazard,4,13,71,186,WR,90,74,75,81,36,12,18,13,40,35,21,83,81,81,20,15,81,1,1,0,0,25,85,181,100
7,Amari,Rodgers,5,8,77,214,WR,89,76,73,79,32,35,23,20,34,33,52,86,74,84,23,27,88,1,0,1,1,21,83,7,70
8,Robert,Tonyan,1,85,77,237,TE,85,59,73,85,56,29,17,12,33,39,46,75,85,81,15,22,85,0,0,1,0,27,26,6,50
9,David,Bakhtiari,1,69,76,310,OL,69,5,22,22,89,7,20,20,20,40,22,85,98,68,10,25,89,0,1,0,0,29,81,113,54
10,Elgton,Jenkins,3,74,75,324,OL,69,11,25,18,85,6,19,14,39,38,24,84,94,63,13,42,93,0,0,0,0,25,80,200,78
11,Josh,Myers,1,71,75,301,OL,62,10,28,20,73,6,18,12,31,31,26,85,74,67,12,31,90,1,1,1,0,23,75,93,73
12,Lucas,Patrick,4,62,77,310,OL,62,8,26,20,71,7,16,21,20,29,21,87,80,64,12,35,82,0,0,0,0,28,79,21,100
13,Dennis,Kelly,5,79,77,311,OL,57,6,40,26,75,6,25,25,20,33,30,85,88,61,13,25,92,0,0,0,0,31,92,184,75
14,Dean,Lowry,1,94,78,296,DL,75,16,47,39,45,7,21,19,71,86,22,78,77,72,26,79,91,1,0,0,0,27,80,327,76
15,Kenny,Clark,5,97,75,314,DL,69,14,34,23,49,8,17,17,90,86,23,86,90,64,35,82,91,1,1,1,1,25,80,282,56
16,T.J.,Slaton Jr,1,93,75,313,DL,69,14,24,16,59,6,15,15,69,75,15,76,61,59,15,77,89,1,0,1,1,23,91,314,61
