INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Alex,Smith,1,11,76,217,QB,75,60,61,20,14,81,15,12,25,25,83,75,75,77,17,12,79,0,0,0,1,36,96,321,82
1,Antonio,Gibson,1,24,72,228,RB,91,82,87,75,32,34,18,14,38,43,43,83,83,87,28,43,90,1,0,1,0,22,98,320,99
2,J.D.,McKissic,5,41,70,195,RB,88,78,84,74,32,12,25,25,45,27,27,88,76,91,13,15,87,0,0,0,1,27,89,240,99
3,Terry,McLaurin,1,17,72,210,WR,94,81,78,89,27,11,16,14,41,41,32,87,93,86,20,34,91,1,0,0,0,23,74,318,56
4,Steven,Sims,5,15,70,176,WR,91,72,70,79,27,21,17,16,27,24,34,83,76,86,19,26,89,1,1,1,1,23,80,140,58
5,Kelvin,Harmon,5,13,74,215,WR,87,75,79,83,34,24,29,27,43,43,33,86,74,81,28,34,92,1,1,0,0,23,82,214,68
6,Cam,Sims,5,89,77,214,WR,87,75,72,83,29,12,15,19,35,32,23,77,75,82,20,22,86,0,0,0,1,24,76,326,94
7,Antonio,Gandy-Golden,5,10,76,223,WR,86,78,77,81,30,10,17,12,35,32,30,85,66,80,15,36,91,1,0,1,0,22,95,41,86
8,Logan,Thomas,1,82,78,250,TE,83,70,76,82,58,63,25,20,26,39,86,82,80,81,22,12,88,0,0,1,0,29,95,85,89
9,Cornelius,Lucas III,1,78,80,327,OL,61,5,40,19,70,6,21,11,25,26,33,76,87,66,12,20,92,0,0,1,0,29,81,81,77
10,Saahdiq,Charles,5,77,76,321,OL,71,11,26,16,70,7,15,12,30,35,17,82,70,72,12,30,85,0,0,0,0,21,92,3,51
11,Chase,Roullier,1,73,76,312,OL,59,12,22,19,78,7,21,22,24,31,15,81,88,67,20,38,93,0,1,0,1,27,94,295,58
12,Brandon,Scherff,3,75,77,315,OL,73,9,40,21,87,7,25,25,26,32,30,88,88,72,12,25,85,0,1,0,1,28,84,16,74
13,Morgan,Moses,1,76,78,330,OL,59,6,45,21,79,7,25,25,20,30,30,84,88,57,13,20,89,0,0,0,0,29,84,179,95
14,Montez,Sweat,5,90,78,260,DL,91,31,56,48,45,6,14,16,82,82,22,77,79,82,38,80,85,1,0,0,0,23,87,112,65
15,Jonathan,Allen,5,93,75,300,DL,72,10,40,30,47,8,9,8,82,91,21,75,91,72,26,80,85,0,0,1,0,25,95,233,87
16,Da'Ron,Payne,5,94,75,319,DL,76,32,46,29,48,8,17,14,83,88,26,74,89,65,26,77,95,0,1,0,1,23,92,186,92
17,Chase,Young,5,99,77,264,DL,85,23,43,27,46,25,14,22,81,89,32,80,84,86,41,84,89,0,1,0,1,21,95,325,66
18,Mychal,Kendricks,5,48,72,240,LB,87,26,55,41,45,7,14,22,76,79,24,86,68,84,64,78,85,1,1,0,0,29,95,298,86
19,Cole,Holcomb,5,55,73,240,LB,87,41,60,51,45,7,18,35,72,83,27,87,76,89,65,76,91,1,0,0,0,24,87,176,71
20,Reuben,Foster,5,56,73,228,LB,86,17,55,39,47,6,14,22,75,81,24,88,74,84,67,89,75,1,1,0,0,26,83,255,59
21,Thomas,Davis Sr,1,58,73,235,LB,82,32,65,55,48,7,21,20,72,85,17,94,83,83,64,91,79,1,0,1,1,37,84,102,53
22,Kendall,Fuller,5,29,71,198,DB,90,57,63,66,27,7,18,17,61,68,27,88,93,90,89,58,84,0,0,1,0,25,92,45,94
23,Ronald,Darby,5,23,71,193,DB,92,57,60,59,34,7,19,18,54,59,26,92,81,88,79,47,87,1,0,0,0,26,77,127,70
24,Landon,Collins,5,26,72,218,DB,88,59,66,62,38,8,18,17,63,74,30,89,77,82,71,93,86,0,1,0,1,26,86,115,91
25,Kamren,Curl,5,31,73,206,DB,86,51,55,60,34,10,22,17,56,67,20,88,77,83,74,77,90,1,1,1,0,21,77,190,76
26,Fabian,Moreau,5,25,72,204,DB,94,53,59,64,34,7,15,16,47,61,25,93,72,88,77,67,85,0,0,0,0,26,93,85,89
27,Jimmy,Moreland,5,20,70,182,DB,90,59,62,66,31,27,22,17,56,57,43,90,70,89,75,61,88,1,0,0,1,25,82,198,67
28,Dustin,Hopkins,1,3,74,203,K,76,5,40,19,16,24,94,82,10,28,45,88,58,65,15,15,87,0,0,1,1,29,84,175,66
29,Tress,Way,1,5,73,220,P,74,10,51,22,12,42,96,90,10,29,54,82,70,65,20,12,92,0,1,0,0,30,84,187,94
30,Kyle,Allen,1,8,75,210,QB,82,33,56,21,14,78,18,15,21,28,85,71,70,75,15,11,89,0,1,0,0,24,87,218,81
31,Taylor,Heinicke,1,4,73,210,QB,84,52,62,24,17,73,23,18,25,25,83,68,65,81,7,10,89,0,1,0,0,27,93,55,86
32,Peyton,Barber,1,34,71,225,RB,87,71,90,60,39,17,21,20,26,33,31,85,70,85,16,21,88,1,1,0,1,26,84,81,87
33,Bryce,Love,5,35,69,205,RB,92,74,85,62,29,16,15,12,21,28,27,82,58,89,13,19,78,1,0,0,0,23,92,4,50
34,Emanuel,Hall,1,80,75,195,WR,93,71,74,78,25,12,18,13,25,24,28,80,54,86,25,21,84,1,1,0,0,23,78,319,76
35,Isaiah,Wright,1,83,74,220,WR,88,72,71,78,41,28,22,20,35,32,42,90,64,84,20,15,86,0,0,1,0,23,93,41,68
36,Jeremy,Sprinkle,5,87,77,252,TE,84,67,75,76,60,10,19,12,27,30,26,83,69,80,14,37,89,1,0,0,0,26,86,97,82
37,Geron,Christian Sr,1,74,77,315,OL,63,13,24,22,71,6,18,12,31,36,16,87,74,69,12,33,90,0,0,0,0,23,64,117,87
38,Wes,Martin,5,67,75,311,OL,59,5,30,18,69,6,17,14,20,39,25,80,61,66,13,26,88,0,1,0,1,24,81,43,84
39,Keith,Ismael,3,60,75,309,OL,61,9,20,23,69,6,14,12,16,35,33,84,73,54,11,20,85,1,1,1,0,22,76,289,55
40,Wes,Schweitzer,5,71,76,300,OL,67,9,25,11,73,7,18,21,29,32,25,82,85,59,12,32,89,0,0,1,1,26,75,44,77
41,Rick,Leonard,3,69,79,305,OL,67,6,28,18,64,7,18,19,35,45,22,88,58,68,12,49,89,1,0,0,0,23,85,53,94
42,Ryan,Kerrigan,5,91,76,265,DL,78,10,45,30,48,7,35,30,71,82,37,88,80,78,50,87,98,1,0,0,1,32,91,77,96
43,Matthew,Ioannidis,5,98,75,310,DL,71,10,41,20,45,7,17,17,72,84,23,79,88,71,25,78,87,0,1,1,0,26,77,7,50
44,Ryan,Anderson,5,52,74,253,DL,81,23,55,49,51,7,16,15,63,84,24,83,66,77,60,83,88,0,1,1,0,26,99,64,65
45,Kevin,Pierre-Louis,3,54,72,231,LB,86,29,60,49,44,6,20,20,62,84,25,87,80,86,59,73,85,1,0,0,0,28,94,285,88
46,Jon,Bostic,3,53,73,245,LB,84,16,64,54,46,8,20,22,77,88,30,90,70,79,48,82,85,0,0,1,0,29,87,11,81
47,Khaleke,Hudson,5,47,71,224,LB,87,46,60,55,43,6,19,19,63,76,25,90,66,84,64,84,89,1,0,1,1,22,77,190,55
48,Greg,Stroman,1,37,71,182,DB,90,56,67,64,33,6,39,34,39,46,24,91,71,83,71,54,85,0,0,1,1,24,67,108,67
49,Jeremy,Reaves,1,39,71,205,DB,84,49,64,56,34,8,16,13,50,67,28,89,68,76,68,85,85,0,0,0,1,24,89,167,82
50,Deshazor,Everett,5,22,72,203,DB,86,49,57,57,36,6,14,17,45,63,29,88,73,85,57,69,87,1,0,1,1,28,95,95,56
51,Tim,Settle,1,97,75,308,DL,66,16,27,18,48,7,15,15,77,80,16,71,74,59,22,79,89,0,1,1,1,23,95,44,94
52,Jonathan,Williams,5,36,72,223,RB,85,75,84,50,30,15,21,20,26,31,26,85,73,85,16,21,85,0,0,1,1,26,98,257,89
